id,height,weight,position,firstseason,lastseason,games,pts,reb,ast,stl,fga,fgm,fta,ftm
NOBLECH01,193,86,G,1955,1961,411,3276,1075,1344,0,3937,1362,755,552
NoelDa01,198,104,F,2006,2006,68,182,123,65,25,176,64,43,37
NOELPA01,193,84,F,1947,1951,201,661,85,140,0,889,259,225,143
NOLANJI01,203,95,C,1949,1949,5,8,0,4,0,21,4,0,0
NOLENPA01,208,NA,C,1953,1953,1,0,1,0,0,1,0,0,0
NORDGJE01,201,102,F,1997,1997,13,18,14,3,2,18,5,9,8
NORDMRO01,208,102,C,1961,1964,133,571,517,73,0,516,237,198,97
NORLAJO01,190,82,F,1946,1950,217,1811,9,218,0,2007,659,728,493
NORMACO01,190,79,G,1974,1978,99,595,145,94,41,631,277,50,41
NORMAKE01,203,98,F,1987,1996,646,8717,3945,1355,517,7695,3737,1786,1012
NORRIAU01,206,104,C,1982,1984,187,819,576,147,85,554,283,382,253
NORRIMO01,185,79,G,1996,2005,444,2272,868,1233,321,2033,816,708,524
NORRISY01,211,100,C,1979,1979,17,40,43,6,3,43,18,6,4
NORWOWI01,201,100,F,1971,1977,430,3209,1597,364,218,2494,1218,1109,773
NOSTRGE01,203,88,C,1946,1949,221,1804,0,184,0,2222,678,832,448
NOSZKST01,185,84,G,1946,1948,110,660,0,68,0,913,256,222,148
NOVAKMI01,206,99,C,1948,1953,125,420,2,175,0,519,161,173,98
NOWELME01,188,77,G,1962,1967,39,232,67,84,0,237,92,66,48
NUTTDE01,188,77,G,1986,1986,25,57,8,16,7,40,16,22,20
NWOSUJU01,208,116,F,1994,1994,23,31,24,3,0,28,9,17,13
OAKLECH01,203,102,F,1985,2003,1282,12417,12205,3217,1351,10263,4835,3522,2679
OBANCH01,196,95,G,1997,1998,48,120,67,29,11,125,50,23,20
OBANED01,203,101,F,1995,1996,128,634,315,102,73,679,249,143,108
OBOYJO01,188,84,G,1952,1952,5,21,10,5,0,26,8,7,5
OBRIBO01,193,86,F,1947,1948,46,81,0,10,0,131,27,58,27
OBRIRA01,175,73,G,1951,1952,119,848,192,180,0,899,324,241,200
OCONDE01,183,79,G,1948,1949,82,473,0,156,0,740,198,145,77
ODONAN01,185,82,G,1949,1949,25,90,0,17,0,108,38,18,14
OGDENCA01,198,98,F,1969,1970,74,257,106,48,0,238,106,65,45
OGDENRA01,196,93,F,1970,1970,32,42,32,9,0,71,17,12,8
OGGAL01,218,109,C,1990,1992,80,175,133,13,12,152,75,44,25
OGRAFR01,180,73,G,1946,1948,146,537,0,97,0,781,207,178,123
OHLDO01,190,86,G,1960,1969,727,11549,2163,2243,0,10806,4685,2975,2179
OKEEDI01,188,84,G,1947,1950,172,888,37,160,0,1162,316,400,256
OKEETO01,188,84,G,1950,1950,6,23,7,10,0,28,10,4,3
